municipio_id,provincia_id,id_departamento,municipio,provincia,departamento 
CBA384,AR-X,1401,Villa Candelaria Norte,Cordoba,Rio Seco
SFE042,AR-S,1693,Campo Piaggio,Santa Fe,San Jeronimo
CBA071,AR-X,1382,Chucul,Cordoba,Rio Cuarto
TUC100,AR-T,1648,Tafi del Valle,Tucuman,Tafi del Valle
BUE007,AR-B,1284,Nueve de Julio,Buenos Aires,Nueve de Julio
BUE101,AR-B,1202,Azul,Buenos Aires,Azul
CBA218,AR-X,1396,La Falda,Cordoba,Punilla
BUE067,AR-B,1225,Coronel Pringles,Buenos Aires,Coronel Pringles
BUE102,AR-B,1260,La Plata,Buenos Aires,La Plata
SAL015,AR-A,1675,Vaqueros,Salta,La Caldera
BUE010,AR-B,1326,Vicente Lopez,Buenos Aires,Vicente Lopez
BUE099,AR-B,1326,Vicente Lopez,Buenos Aires,Vicente Lopez
BUE072,AR-B,1326,Vicente Lopez,Buenos Aires,Vicente Lopez
BUE068,AR-B,1326,Vicente Lopez,Buenos Aires,Vicente Lopez
BUE118,AR-B,1326,Vicente Lopez,Buenos Aires,Vicente Lopez
SGO081,AR-G,1631,Nueva Esperanza,Santiago del Estero,Pellegrini
NEU015,AR-Q,1556,Neuquen,Neuquen,Confluencia
NEU032,AR-Q,1556,Neuquen,Neuquen,Confluencia
BUE044,AR-B,1261,Lanus,Buenos Aires,Lanus
BUE090,AR-B,1261,Lanus,Buenos Aires,Lanus
BUE001,AR-B,1261,Lanus,Buenos Aires,Lanus
CHA046,AR-H,1347,Barranqueras,Chaco,San Fernando
BUE030,AR-B,1288,Pellegrini,Buenos Aires,Pellegrini
CHU038,AR-U,1369,Buen Pasto,Chubut,Sarmiento
JUJ041,AR-Y,1467,Humahuaca,Jujuy,Humahuaca
CBA398,AR-X,1383,Villa Allende,Cordoba,Colon
BUE124,AR-B,1262,Laprida,Buenos Aires,Laprida
CBA087,AR-X,1383,Jesus Maria,Cordoba,Colon
BUE054,AR-B,1285,Olavarria,Buenos Aires,Olavarria
BUE085,AR-B,1285,Olavarria,Buenos Aires,Olavarria
BUE094,AR-B,1195,Adolfo Alsina,Buenos Aires,Adolfo Alsina
BUE053,AR-B,1195,Adolfo Alsina,Buenos Aires,Adolfo Alsina
SAL009,AR-A,1666,General Guemes,Salta,General Guemes
